0
1. Climate & Atmosphere (Khí hậu & Khí quyển)**3==D3==D* Biến đổi khí hậu (Climate change)3==D* Khí nhà kính (Greenhouse gases)3==D* Ô nhiễm không khí (Air pollution)3==D* Tầng ozone và chất lượng không khí (Ozone layer, air quality)3==D* Thích ứng & giảm thiểu biến đổi khí hậu (Adaptation & mitigation)	2. Water & Marine Environment (Tài nguyên nước & Môi trường biển)**3==D3==D* Chất lượng nước (Water quality)3==D* Nguồn nước ngọt, sông, hồ, nước ngầm3==D* Ô nhiễm nước (Water pollution)3==D* Đại dương, biển và vùng ven biển (Marine & coastal environment)3==D* Vi nhựa, rác thải biển, sinh vật biển	3. Land, Soil & Agriculture (Đất đai, Đất nông nghiệp & Canh tác)**3==D3==D* Thoái hóa đất, xói mòn, sa mạc hóa3==D* Ô nhiễm đất (Soil contamination)3==D* Quản lý sử dụng đất (Land use management)3==D* Nông nghiệp bền vững, trồng trọt hữu cơ3==D* Phát triển đô thị và môi trường đất	4. Biodiversity & Ecosystems (Đa dạng sinh học & Hệ sinh thái)**3==D3==D* Bảo tồn loài, bảo vệ rừng, động thực vật quý hiếm3==D* Suy thoái hệ sinh thái, mất môi trường sống3==D* Rừng, đồng cỏ, vùng ngập nước3==D* Khôi phục và phục hồi thiên nhiên (Restoration ecology)3==D* Dịch vụ hệ sinh thái (Ecosystem services)	5. Energy & Resources (Năng lượng & Tài nguyên)**3==D3==D* Năng lượng tái tạo (gió, mặt trời, thủy điện, sinh khối)3==D* Hiệu quả năng lượng, tiết kiệm năng lượng3==D* Khai thác tài nguyên (dầu, khí, khoáng sản)3==D* Tiêu thụ năng lượng & phát thải carbon3==D* Nền kinh tế carbon thấp	6. Waste, Pollution & Chemicals (Chất thải, Ô nhiễm & Hóa chất)**3==D3==D* Quản lý rác thải sinh hoạt & công nghiệp3==D* Rác thải nguy hại, chất độc hại3==D* Ô nhiễm tiếng ồn, ánh sáng, nhiệt3==D* Ô nhiễm công nghiệp, kim loại nặng3==D* Quản lý hóa chất & an toàn môi trường	7. Circular Economy & Sustainability (Kinh tế tuần hoàn & Phát triển bền vững)**3==D3==D* Giảm – Tái sử dụng – Tái chế (3R)3==D* Sử dụng tài nguyên hiệu quả (Resource efficiency)3==D* Sản phẩm xanh, tiêu dùng bền vững3==D* Chuỗi cung ứng xanh (Green supply chain)3==D* Mục tiêu phát triển bền vững (SDGs)	8. Environment & Human Health (Môi trường & Sức khỏe con người)**3==D3==D* Ảnh hưởng của ô nhiễm đến sức khỏe3==D* Bệnh liên quan môi trường (ô nhiễm, hóa chất, nước bẩn)3==D* Chất độc, kim loại nặng, thuốc trừ sâu3==D* Tiếng ồn đô thị, ánh sáng nhân tạo3==D* Sức khỏe tinh thần & biến đổi khí hậu3==D	9. Environmental Policy & Governance (Chính sách & Quản trị môi trường)**3==D3==D* Luật và quy định môi trường3==D* Cơ chế quốc tế (COP, IPCC, UNFCCC, SDGs)3==D* Quản trị môi trường (Environmental governance)3==D* Chính sách khí hậu quốc gia & địa phương3==D* Giáo dục & truyền thông môi trường	10. Urban Environment & Green Living (Môi trường đô thị & Lối sống xanh)**3==D3==D* Quy hoạch xanh, thành phố bền vững3==D* Giao thông xanh, giảm phát thải đô thị3==D* Không gian xanh, cây xanh đô thị3==D* Công nghệ xanh, nhà thông minh, tiết kiệm năng lượng3==D* Lối sống xanh, tiêu dùng thân thiện môi trường
Mất Đa Dạng Sinh Học	Nước khử muối	Phân bổ đất đai	Chỉ số năng suất hệ sinh thái	Tiêu chuẩn danh mục năng lượng tái tạo	Pollution Liability	Circular Urban System	Ô nhiễm nhiệt	Global Environmental Governance	Khu dân cư bền vững	Not Done
Atmospheric Moisture	Waterborne Toxins	Soil Productivity	Species Ecology	Power Sector Reform	Trách nhiệm ô nhiễm	Hệ thống đô thị tuần hoàn	Health Promotion	Quản trị môi trường toàn cầu	Clean Transportation	Not Done
Độ Ẩm Khí Quyển	Độc tố trong nước	Organic Agriculture Certification	Sinh thái học loài	Cải cách ngành điện	Environmental Standards	Green Circular Hub	Tăng cường sức khỏe	Phong trào công bằng môi trường	Phương tiện giao thông sạch	Not Done
Rainfall Pattern	Ocean Rescue Initiatives	Chứng nhận nông nghiệp hữu cơ	Ecosystem Conservation	Electric Mobility	Tiêu chuẩn môi trường	Trung tâm tuần hoàn xanh	Vulnerable Populations	Policy Analysis	Smart Lighting Systems	Not Done
Mẫu Lượng Mưa	Sáng kiến cứu biển	Land Degradation Assessment	Bảo tồn hệ sinh thái	Di chuyển điện hóa	Lưu trữ chất thải nguy hại	Zero Waste Production	Nhóm dễ bị tổn thương	Phân tích chính sách	Hệ thống chiếu sáng thông minh	Not Done
Environmental Impact	Groundwater Governance	Đánh giá thoái hóa đất	Natural Landscape Protection	Electric Vehicles	Environmental Compliance	Sản xuất không rác thải	Indoor Pollution	Environmental Leadership Program	Urban Waste Recycling	Not Done
Tác Động Môi Trường	Quản lý nước ngầm	Soil Water Holding Capacity	Bảo vệ cảnh quan tự nhiên	Xe điện	Tuân thủ môi trường	Responsible Manufacturing	Ô nhiễm trong nhà	Chương trình lãnh đạo môi trường	Tái chế rác thải đô thị	Not Done
Weather Extremes	Wetland Protection	Khả năng giữ nước của đất	Ecosystem Connectivity Network	Charging Infrastructure	Pollution Permits	Sản xuất có trách nhiệm	Waste Burning	Environmental Negotiation	Eco Friendly Construction	Not Done
Hiện Tượng Thời Tiết Cực Đoan	Bảo vệ đất ngập nước	Crop Soil Management	Mạng lưới kết nối hệ sinh thái	Hạ tầng trạm sạc	Giấy phép xả thải	Eco Friendly Innovation	Đốt rác thải	Đàm phán môi trường	Xây dựng thân thiện môi trường	Not Done
Natural Resources	Water Availability	Quản lý đất canh tác	Biodiversity Mapping	Battery Recycling	Chemical Inventory	Đổi mới thân thiện môi trường	Airborne Chemicals	Public Health Policy Integration	Green Lifestyle Movement	Not Done
Tài Nguyên Thiên Nhiên	Nguồn nước sẵn có	Soil pH Testing	Bản đồ đa dạng sinh học	Tái chế pin	Danh mục hóa chất	Eco Circular Design	Hóa chất trong không khí	Tích hợp chính sách sức khỏe cộng đồng	Phong trào lối sống xanh	Not Done
Ocean Level	Marine Chemistry	Đo độ pH đất	Ecosystem Degradation Control	Energy Research	Chemical Labeling	Thiết kế tuần hoàn sinh thái	Sanitary Systems	Environmental Research and Innovation	Quản lý nước đô thị	Not Done
Mực Nước Đại Dương	Hóa học biển	Sustainable Land Policies	Kiểm soát suy thoái hệ sinh thái	Nghiên cứu năng lượng	Ghi nhãn hóa chất	Green Transformation	Hệ thống vệ sinh	Nghiên cứu và đổi mới môi trường	Energy Efficient Design	Not Done
Water Cycle	Coastal Communities	Chính sách đất bền vững	Forest Restoration Projects	Renewable Policy Framework	Material Safety Data Sheet	Chuyển đổi xanh bền vững	Noise Regulation	Policy Transparency	Thiết kế tiết kiệm năng lượng	Not Done
Chu Trình Nước	Cộng đồng ven biển	Soil Ecosystem	Dự án phục hồi rừng	Khung chính sách năng lượng tái tạo	Bảng dữ liệu an toàn hóa chất	Decarbonization	Quy định tiếng ồn	Minh bạch chính sách	Sustainable City Planning	Not Done
Climate Assessment	Water Supply Systems	Hệ sinh thái đất	Wetland Conservation	Greenhouse Gas Reduction	Emergency Response Plan	Giảm phát thải carbon	Green Building and Health	Sustainable Resource Management	Lập kế hoạch thành phố bền vững	Not Done
Đánh Giá Khí Hậu	Hệ thống cấp nước	Land Utilization	Bảo tồn đất ngập nước	Giảm khí nhà kính	Kế hoạch ứng phó khẩn cấp	Sustainable Technology	Công trình xanh và sức khỏe	Quản lý tài nguyên bền vững	Green Citizen Engagement	Not Done
Emission Inventory	Water Contamination Sources	Sử dụng đất hiệu quả	Ecosystem Benefits	Sustainable Power	Toxic Substance Control	Công nghệ bền vững	Chronic Respiratory Diseases	Environmental Data Management	Sự tham gia của công dân xanh	Not Done
Kiểm Kê Phát Thải	Nguồn gây ô nhiễm nước	Soil Remediation	Lợi ích hệ sinh thái	Năng lượng điện bền vững	Kiểm soát chất độc hại	Circular Policy	Bệnh hô hấp mãn tính	Quản lý dữ liệu môi trường	Thiết kế đô thị thân thiện môi trường	Not Done
Climate Monitoring	Marine Mammals	Xử lý ô nhiễm đất	Species Tracking	Hydroelectric Dams	Ứng phó tràn hóa chất	Chính sách tuần hoàn	Environmental Sustainability and Health	Eco Labeling Policy	Chính sách thành phố bền vững	Not Done
Giám Sát Khí Hậu	Động vật có vú biển	Agricultural Policy Reform	Theo dõi loài	Đập thủy điện	Waste Tracking	Circular Leadership	Phát triển bền vững và sức khỏe	Chính sách nhãn sinh thái	Urban Smart Mobility	Not Done
Green Innovation	Water Efficiency	Cải cách chính sách nông nghiệp	Forest Management	Wind Turbines	Theo dõi rác thải	Lãnh đạo tuần hoàn	Health Data Monitoring	Public Consultation	Giao thông thông minh đô thị	Not Done
Đổi Mới Xanh	Hiệu quả sử dụng nước	Theo dõi ô nhiễm đất	Quản lý rừng	Tuabin gió	Pollution Data Reporting	Green Collaboration	Theo dõi dữ liệu sức khỏe	Tham vấn cộng đồng	Energy Efficiency Program	Not Done
Airborne Particles	Marine Research	Land Degradation Neutrality	Biodiversity Hotspot Conservation	Solar Panels	Báo cáo dữ liệu ô nhiễm	Hợp tác xanh	Toxic Material Management	Environmental Impact Regulation	Chương trình hiệu quả năng lượng	Not Done
Bụi Mịn	Nghiên cứu biển	Trung hòa thoái hóa đất	Bảo tồn vùng đa dạng sinh học	Tấm pin mặt trời	Environmental Monitoring	Sustainable Partnership	Quản lý vật liệu độc hại	Quy định tác động môi trường	Eco Friendly Innovation	Not Done
Renewable Source	Coastal Development	Soil Amendment	Đánh giá sức khỏe hệ sinh thái	Photovoltaic System	Quan trắc môi trường	Đối tác bền vững	Clean Water Access	Climate Action Governance	Đổi mới thân thiện môi trường	Not Done
Nguồn Năng Lượng Tái Tạo	Phát triển vùng ven biển	Cải thiện đất	Wildlife Habitat Protection	Hệ thống quang điện	Waste Minimization	Carbon Neutral Company	Tiếp cận nước sạch	Quản trị hành động khí hậu	Tích hợp công nghệ xanh	Not Done
Environmental Degradation	Water Usage Trends	Agrochemical Management	Bảo vệ sinh cảnh động vật	Energy Transition Funding	Giảm thiểu chất thải	Doanh nghiệp trung hòa carbon	Chemical Regulation	Environmental Accountability Report	Sustainable Urban Projects	Not Done
Suy Thoái Môi Trường	Xu hướng sử dụng nước	Quản lý hóa chất nông nghiệp	Ecological Research	Tài trợ chuyển đổi năng lượng	Recycling Innovation	Circular Economy Roadmap	Quy định về hóa chất	Báo cáo trách nhiệm môi trường	Dự án đô thị bền vững	Not Done
Sustainable Policy	Marine Protected Species	Bản đồ xói mòn đất	Nghiên cứu sinh thái	Resource Extraction	Đổi mới tái chế	Lộ trình kinh tế tuần hoàn	Community Health	Public Private Partnerships	Eco Cultural Lifestyle	Not Done
Chính Sách Bền Vững	Loài biển được bảo vệ	Land Governance	Chính sách bảo vệ rừng	Khai thác tài nguyên	Green Packaging	Sustainability Reporting Framework	Sức khỏe cộng đồng	Hợp tác công tư	Văn hóa sống xanh	Not Done
Climate Disaster	Waterborne Viruses	Quản trị đất đai	Habitat Protection	Natural Resource Economics	Bao bì xanh	Khung báo cáo bền vững	Mental Health Awareness	Environmental Policy Education	Clean Urban Energy	Not Done
Thảm Họa Khí Hậu	Vi rút trong nước	Soil Nutrient Deficiency	Bảo vệ môi trường sống	Kinh tế tài nguyên thiên nhiên	Waste Sorting	Circular Finance	Nhận thức sức khỏe tinh thần	Giáo dục chính sách môi trường	Năng lượng đô thị sạch	Not Done
Atmospheric Model	Water Management Strategies	Thiếu hụt dinh dưỡng đất	Biodiversity and Climate	Resource Depletion	Phân loại rác thải	Tài chính tuần hoàn	Environmental Nutrition	Sustainable Infrastructure Policy	Phát triển hạ tầng xanh	Not Done
Mô Hình Khí Quyển	Chiến lược quản lý nước	Crop Fertilization	Đa dạng sinh học và khí hậu	Cạn kiệt tài nguyên	Compostable Products	Circular Economy Action Plan	Dinh dưỡng môi trường	Chính sách hạ tầng bền vững	Nhà thông minh bền vững	Not Done
Rainfall Intensity	Ocean Forecasting	Bón phân cho cây trồng	Ecosystem Education	Resource Renewal	Sản phẩm phân hủy sinh học	Kế hoạch hành động kinh tế tuần hoàn	Sustainable Urban Living	Environmental Stewardship Program	Eco Friendly Waste System	Not Done
Cường Độ Mưa	Dự báo đại dương	Soil Contaminants	Giáo dục hệ sinh thái	Tái tạo tài nguyên	Industrial Byproducts	Chiến lược tăng trưởng bền vững	Cuộc sống đô thị bền vững	Chương trình bảo vệ môi trường	Hệ thống rác thải thân thiện môi trường	Not Done
Temperature Variation	Coastal Wetlands	Chất ô nhiễm trong đất	Forest Resources	Mineral Exploration	Phụ phẩm công nghiệp	Sustainable Future	Contaminant Control	Corporate Green Policy	Giao thông phát thải thấp	Not Done
Biến Động Nhiệt Độ	Đất ngập nước ven biển	Farm Soil Management	Tài nguyên rừng	Thăm dò khoáng sản	Hazardous Waste Transport	Tương lai bền vững	Kiểm soát chất ô nhiễm	Chính sách xanh doanh nghiệp	Urban Renewable Energy	Not Done
Climate Sensitivity	Marine Ecosystem Health	Quản lý đất nông nghiệp	Species Adaptation	Sustainable Resource Planning	Vận chuyển chất thải nguy hại	Eco Transition	Health Resilience	Environmental Advocacy	Smart Green Solutions	Not Done
Độ Nhạy Khí Hậu	Sức khỏe hệ sinh thái biển	Soil Rehabilitation Projects	Thích nghi loài	Quy hoạch tài nguyên bền vững	Sustainable Materials	Chuyển đổi sinh thái	Khả năng phục hồi sức khỏe	Vận động môi trường	Giải pháp xanh thông minh	Not Done
Climate Index	Water Harvesting	Dự án phục hồi đất	Dự án phục hồi hệ sinh thái	Energy Awareness	Vật liệu bền vững	Circular Resource System	Ozone Pollution	Green Innovation Governance	Sustainable Housing Policy	Not Done
Chỉ Số Khí Hậu	Thu hoạch nước	Land Capability Classification	Habitat Restoration Planning	Nhận thức về năng lượng	Eco Labeling	Hệ thống tài nguyên tuần hoàn	Ô nhiễm ozone	Quản trị đổi mới xanh	Chính sách nhà ở bền vững	Not Done
Carbon Sink	Sea Surface Temperature	Phân loại khả năng sử dụng đất	Kế hoạch phục hồi sinh cảnh	Household Energy Use	Nhãn sinh thái	Resource Circulation	Waterborne Pathogens	Environmental Risk Policy	Eco Friendly Living	Not Done
Bể Hấp Thụ Carbon	Nhiệt độ bề mặt biển	Soil Monitoring System	Ecological Networks	Tiêu thụ năng lượng hộ gia đình	Waste to Energy	Lưu chuyển tài nguyên	Mầm bệnh trong nước	Chính sách rủi ro môi trường	Cuộc sống thân thiện môi trường	Not Done
Ozone Concentration	Water Justice	Hệ thống giám sát đất	Mạng lưới sinh thái	Energy Education	Chuyển rác thành năng lượng	Green Ecosystem	Food Hygiene	Policy Coordination	Green Energy Transition	Not Done
Nồng Độ Ozon	Công bằng nước	Organic Pesticides	Forest Carbon Sequestration	Giáo dục năng lượng	Renewable Materials	Hệ sinh thái xanh	Vệ sinh thực phẩm	Điều phối chính sách	Chuyển đổi năng lượng xanh	Not Done
Atmospheric Composition	Marine Data Science	Thuốc trừ sâu hữu cơ	Lưu trữ các bon trong rừng	Power Plant Efficiency	Vật liệu tái tạo	Sustainable Ecosystem	Soil Pollution Health Effects	Climate Adaptation Governance	Urban Environment Awareness	Not Done
Thành Phần Khí Quyển	Khoa học dữ liệu biển	Land Development Control	Ecosystem Functions	Hiệu suất nhà máy điện	Pollution Awareness	Hệ sinh thái bền vững	Tác động sức khỏe do ô nhiễm đất	Quản trị thích ứng khí hậu	Nhận thức môi trường đô thị	Not Done
Energy Policy	Aquatic Conservation	Kiểm soát phát triển đất đai	Chức năng sinh thái	Energy Transformation	Nhận thức về ô nhiễm	Green Urban Economy	Plastic Exposure	Environmental Strategy Development	Clean Air City	Not Done
Chính Sách Năng Lượng	Bảo tồn sinh vật nước	Dịch vụ hệ sinh thái đất	Phát triển đa dạng sinh học bền vững	Biến đổi năng lượng	Environmental Education	Kinh tế đô thị xanh	Phơi nhiễm nhựa	Xây dựng chiến lược môi trường	Thành phố không khí sạch	Not Done
Environmental Sustainability	Water Risk Assessment	Urban Farming	Forest Ecosystem Health	Thermal Power	Giáo dục môi trường	Circular Material Flow	Public Health Policy	Transparency in Governance	Sustainable Green Planning	Not Done
Bền Vững Môi Trường	Đánh giá rủi ro nước	Soil pH Balance	Sức khỏe hệ sinh thái rừng	Nhiệt điện	Urban Waste Management	Dòng vật liệu tuần hoàn	Chính sách y tế công cộng	Minh bạch trong quản lý	Quy hoạch xanh bền vững	Not Done
Weather Station	Ocean Technology	Cân bằng độ pH đất	Định giá dịch vụ hệ sinh thái	Nuclear Energy	Quản lý rác đô thị	Eco Transition Path	Chemical Waste Disposal	Environmental Ethics	Eco Design Building	Not Done
Trạm Quan Trắc Thời Tiết	Công nghệ đại dương	Land Surveying	Species Data Collection	Năng lượng hạt nhân	Kiểm soát ô nhiễm công nghiệp	Lộ trình chuyển đổi sinh thái	Xử lý chất thải hóa chất	Đạo đức môi trường	Tòa nhà thiết kế sinh thái	Not Done
Climate Data Center	Coastal Hazard Mitigation	Khảo sát đất đai	Thu thập dữ liệu loài	Fusion Energy	Toxic Gas Emission	Regenerative Economy	Microbial Contamination	Green Law	Urban Green Movement	Not Done
Trung Tâm Dữ Liệu Khí Hậu	Giảm nhẹ thiên tai ven biển	Soil Research	Ecosystem Mapping Projects	Năng lượng nhiệt hạch	Phát thải khí độc	Nền kinh tế tái tạo	Nhiễm khuẩn vi sinh	Luật xanh	Phong trào đô thị xanh	Not Done
Climate Awareness	Water Affordability	Nghiên cứu đất	Dự án bản đồ hệ sinh thái	Fission Reactor	Hazardous Waste Policy	Resource Regeneration System	Phòng ngừa bệnh môi trường	Chính sách quản lý môi trường	Energy Saving Devices	Not Done
Nhận Thức Khí Hậu	Khả năng chi trả nước	Phát triển nông thôn bền vững	Forest Policy	Lò phản ứng phân hạch	Chính sách chất thải nguy hại	Hệ thống tái sinh tài nguyên	Noise Exposure	National Sustainability Goals	Thiết bị tiết kiệm năng lượng	Not Done
Sea Ice Decline	Marine Governance Framework	Soil Nutrient Cycle	Chính sách rừng	Energy Strategy	Chemical Import Regulations	Circular Development	Phơi nhiễm tiếng ồn	Mục tiêu bền vững quốc gia	Sustainable Urban Living	Not Done
Giảm Băng Biển	Khung quản trị biển	Chu trình dinh dưỡng đất	Ecosystem Evaluation Criteria	Chiến lược năng lượng	Quy định nhập khẩu hóa chất	Phát triển tuần hoàn	Biodiversity and Human Health	Environmental Legal Reform	Cuộc sống đô thị bền vững	Not Done
Solar Reflection	Water Law and Policy	Land Restoration Programs	Tiêu chí đánh giá hệ sinh thái	Resource Governance	Độc chất học môi trường	Low Carbon Economy	Đa dạng sinh học và sức khỏe con người	Cải cách pháp lý môi trường	Green Lifestyle Choice	Not Done
Phản Xạ Mặt Trời	Luật và chính sách nước	Chương trình phục hồi đất	Wildlife Population Monitoring	Quản trị tài nguyên	Đánh giá tác động ô nhiễm	Nền kinh tế carbon thấp		Climate Change Policy Implementation	Lựa chọn lối sống xanh	Not Done
Climate Equity	Ocean Literacy	Agro Industrial Land Use	Theo dõi quần thể động vật	Renewable Resource Assessment	Water Treatment Chemicals	Sustainability Transformation		Thực thi chính sách biến đổi khí hậu	Smart Waste Solutions	Not Done
Công Bằng Khí Hậu	Hiểu biết về đại dương	Đất sử dụng cho công nghiệp nông nghiệp	Ecological Management	Đánh giá tài nguyên tái tạo	Hóa chất xử lý nước	Chuyển đổi bền vững		Environmental Performance Evaluation	Giải pháp rác thải thông minh	Not Done
Emission Regulation	Water Sanitation	Làm sạch đất ô nhiễm	Quản lý sinh thái	Energy Regulation Policy	Chemical Industry Waste	Eco Circular Policy		Đánh giá hiệu quả môi trường	Eco Friendly Transport	Not Done
Quy Định Phát Thải	Vệ sinh nguồn nước	Agricultural Practices	Habitat Research	Chính sách quản lý năng lượng	Rác thải ngành hóa chất	Chính sách sinh thái tuần hoàn		Public Environmental Governance	Vận tải thân thiện môi trường	Not Done
Air Pollution Control	Coastal Urbanization	Thực hành nông nghiệp	Nghiên cứu sinh cảnh	Carbon Capture and Storage	Industrial Hazard Prevention	Sustainable Governance		Quản trị môi trường công	Urban Environmental Innovation	Not Done
Kiểm Soát Ô Nhiễm Không Khí	Đô thị hóa ven biển	Soil Science Education	Ecosystem Resilience Studies	Thu giữ và lưu trữ carbon	Phòng ngừa nguy cơ công nghiệp	Quản trị bền vững		Environmental Science Policy Interface	Đổi mới môi trường đô thị	Not Done
Sustainable Lifestyle	Ocean Research Collaboration	Giáo dục khoa học đất	Nghiên cứu khả năng phục hồi hệ sinh thái	Chuyển đổi năng lượng sạch	Sustainable Chemical Practices	Eco Responsibility Program		Liên kết chính sách và khoa học môi trường	Mở rộng không gian xanh	Not Done
Lối Sống Bền Vững	Hợp tác nghiên cứu đại dương	Land Zoning Policies	Biodiversity Integration	Low Emission Technology	Thực hành hóa chất bền vững	Chương trình trách nhiệm sinh thái		Sustainability Framework	Sustainable Smart City	Not Done
Energy Demand	Water Security	Chính sách phân vùng đất	Tích hợp đa dạng sinh học	Công nghệ phát thải thấp	Pollution Cleanup	Sustainable Performance		Khung phát triển bền vững	Thành phố thông minh bền vững	Not Done
Nhu Cầu Năng Lượng	An ninh nguồn nước	Quản lý độ phì đất	Ecosystem Assessment Reports	Energy Production	Làm sạch ô nhiễm	Hiệu suất bền vững		Environmental Accountability System	Clean Energy Future	Not Done
Rainfall Distribution	Marine Stewardship	Land Ecosystem Services	Báo cáo đánh giá hệ sinh thái	Sản xuất năng lượng	Waste Innovation	Circular Impact Assessment		Hệ thống trách nhiệm môi trường	Tương lai năng lượng sạch	Not Done
Phân Bố Lượng Mưa	Quản lý tài nguyên biển	Dịch vụ hệ sinh thái đất đai	Giám sát hệ sinh thái rừng	Energy Export	Đổi mới chất thải	Đánh giá tác động tuần hoàn		Public Environmental Monitoring	Green Living Practices	Not Done
Flood Hazard	Water Flow Monitoring	Soil Degradation Processes	Species Observation	Xuất khẩu năng lượng	Green Manufacturing	Resource Circularity Index		Giám sát môi trường công cộng	Thực hành lối sống xanh	Not Done
Nguy Cơ Ngập Lụt	Theo dõi lưu lượng nước	Quá trình thoái hóa đất	Quan sát loài	Energy Import	Sản xuất xanh	Chỉ số tuần hoàn tài nguyên		Environmental Policy Database	Smart Urban Growth	Not Done
Global Observation	Coral Restoration	Agro Food Systems	Ecosystem Impact Studies	Nhập khẩu năng lượng	Industrial Wastewater Treatment	Sustainable Innovation Lab		Cơ sở dữ liệu chính sách môi trường	Tăng trưởng đô thị thông minh	Not Done
Quan Trắc Toàn Cầu	Phục hồi san hô	Hệ thống nông thực phẩm	Nghiên cứu tác động hệ sinh thái	Phát triển tài nguyên bền vững	Xử lý nước thải công nghiệp	Phòng thí nghiệm đổi mới bền vững		Community Governance	Eco Friendly Products Market	Not Done
Climate Projection	Ocean Safety	Soil Organic Content	Phát triển chính sách đa dạng sinh học	Tối ưu hóa tài nguyên	Waste Management Technology	Circular Transition		Quản trị cộng đồng	Thị trường sản phẩm thân thiện môi trường	Not Done
Dự Báo Xu Hướng Khí Hậu	An toàn hàng hải	Hàm lượng hữu cơ trong đất	Forest Ecosystem Protection	Power Grid Reliability	Công nghệ quản lý rác thải	Chuyển đổi tuần hoàn		Global Sustainability Policy	Sustainable Community Design	Not Done
Carbon Removal	Marine Debris Cleanup	Land Productivity Assessment	Bảo vệ hệ sinh thái rừng	Độ tin cậy lưới điện	Xử lý chất thải nguy hại	Eco Investment		Chính sách phát triển bền vững toàn cầu	Thiết kế cộng đồng bền vững	Not Done
Loại Bỏ Carbon	Thu gom rác thải biển	Đánh giá năng suất đất	Ecosystem Adaptation Strategies	Renewable Electricity Generation	Environmental Restoration	Đầu tư sinh thái		Environmental Convention	Urban Eco Policy	Not Done
Planetary Boundary	Waterborne Pathogens	Soil Contaminant Mapping	Chiến lược thích ứng sinh thái	Phát điện từ năng lượng tái tạo	Phục hồi môi trường	Sustainable Marketplace		Công ước môi trường	Chính sách sinh thái đô thị	Not Done
Giới Hạn Hành Tinh	Mầm bệnh trong nước	Bản đồ chất ô nhiễm đất	Phục hồi môi trường tự nhiên			Thị trường bền vững		Governance Efficiency	Green Energy Innovation	Not Done
Ecological Footprint	Ocean Observation Networks	Agricultural Land Use	Biodiversity Projects			Circular Urban Planning		Hiệu quả quản trị	Đổi mới năng lượng xanh	Not Done
Dấu Chân Sinh Thái	Mạng lưới quan trắc đại dương	Sử dụng đất nông nghiệp	Dự án đa dạng sinh học			Quy hoạch đô thị tuần hoàn			Sustainable City Vision	Not Done
Renewable Transition	Water Pricing	Soil Protection Measures	Ecosystem Planning			Sustainable Decision Making			Tầm nhìn thành phố bền vững	Not Done
Chuyển Đổi Năng Lượng Sạch	Giá nước	Biện pháp bảo vệ đất	Lập kế hoạch hệ sinh thái			Ra quyết định bền vững			Eco Friendly Future	Not Done
Atmospheric Science	Coastal Engineering	Land Conservation	Forest Ecology			Chứng nhận phát triển bền vững			Tương lai thân thiện môi trường	Not Done
Khoa Học Khí Quyển	Kỹ thuật ven biển	Bảo tồn đất đai	Sinh thái học rừng			Circular Economy Principles			Urban Environment Design	Not Done
Sustainable Future	Ocean Awareness	Soil Stabilization	Ecosystem Network Design			Nguyên tắc kinh tế tuần hoàn			Thiết kế môi trường đô thị	Not Done
Tương Lai Bền Vững	Nhận thức về biển	Ổn định đất	Thiết kế mạng lưới hệ sinh thái			Green Product Design			Green Building Technology	Not Done
Ecosystem Health	Water Equity	Agroclimatic Conditions	Species Research			Thiết kế sản phẩm xanh			Công nghệ tòa nhà xanh	Not Done
Sức Khỏe Hệ Sinh Thái	Bình đẳng trong tiếp cận nước	Điều kiện khí hậu nông nghiệp	Nghiên cứu loài			Circular Business Strategy			Sustainable Living Spaces	Not Done
Carbon Management	Marine Species Conservation	Soil Fertility Restoration	Ecosystem based Management			Chiến lược kinh doanh tuần hoàn			Không gian sống bền vững	Not Done
Quản Lý Carbon	Bảo tồn loài biển	Phục hồi độ phì nhiêu đất	Quản lý dựa trên hệ sinh thái			Eco Management				Not Done
Environmental Risk	Water Governance	Land Investment	Forest and Wildlife Conservation			Quản lý sinh thái				Not Done
Rủi Ro Môi Trường	Quản trị nước	Đầu tư đất đai	Bảo tồn rừng và động vật hoang dã			Chuỗi giá trị tuần hoàn				Not Done
Temperature Anomaly	Ocean Protection Programs	Soil and Plant Nutrition	Ecosystem Service Indicators			Sustainability Vision				Not Done
Sai Lệch Nhiệt Độ	Chương trình bảo vệ biển	Dinh dưỡng đất và cây trồng	Chỉ báo dịch vụ hệ sinh thái			Tầm nhìn bền vững				Not Done
Climate Impact	Freshwater Biodiversity	Agricultural Development	Habitat Preservation			Circular Responsibility				Not Done
Tác Động Khí Hậu	Đa dạng sinh học nước ngọt	Phát triển nông nghiệp	Bảo tồn môi trường sống			Trách nhiệm tuần hoàn				Not Done
Weather Observation	Coastal Pollution	Soil Degradation Causes	Ecosystem Science			Circular Technology				Not Done
Quan Trắc Thời Tiết	Ô nhiễm ven biển	Nguyên nhân thoái hóa đất	Khoa học hệ sinh thái			Công nghệ tuần hoàn				Not Done
Climate Variability		Land Suitability Mapping	Forest Habitat Management			Green Resource Management				Not Done
Biến Động Khí Hậu		Bản đồ thích hợp sử dụng đất	Quản lý sinh cảnh rừng			Quản lý tài nguyên xanh				Not Done
Air Emission		Soil Improvement Techniques	Ecosystem Policy Implementation			Sustainable Urban Economy				Not Done
Phát Thải Không Khí		Kỹ thuật cải thiện đất	Thực thi chính sách hệ sinh thái			Kinh tế đô thị bền vững				Not Done
Renewable Network		Land Rehabilitation Projects	Species Inventory			Sustainability Action Plan				Not Done
